SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,SpeciesCommonNameNew,Habitat,OtherCategory,GENUS,SPECIES,Species 2,Species,Identifier
EUCINOSTOMUS SPP,MOJARRITAS,Mojarras,Demersal,,E, SPP,E. spp,Eucinostomus spp.,A
EUCINOSTOMUS GULA,SILVER JENNY,Silver Jenny,Demersal,,E, GULA,E. gula,E. gula,A
EVORTHODUS LYRICUS,LYRE GOBY,Gobies and Blennies,Demersal,,E, LYRICUS,E. lyricus,E. lyricus,A
FARFANTEPENAEUS AZTECUS,NORTHERN BROWN SHRIMP,Northern Brown Shrimp,Demersal,Crustacean,F, AZTECUS,F. aztecus,F. aztecus,A
FARFANTEPENAEUS DUORARUM,PINK SHRIMP,Pink Shrimp,Demersal,Crustacean,F, DUORARUM,F. duorarum,F. duorarum,A
FISTULARIA TABACARIA,TOBACCO TRUMPETFISH,Tobacco Trumpetfish,Demersal,,F, TABACARIA,F. tabacaria,F. tabacaria,A
GERREIDAE SPP,MOJARRAS,Mojarras,Demersal,,G, SPP,G. spp,Gerreidae spp.,A
GLYPTOCEPHALUS CYNOGLOSSUS,WITCH FLOUNDER,Witch Flounder,Demersal,,G, CYNOGLOSSUS,G. cynoglossus,G. cynoglossus,A
GOBIESOX STRUMOSUS,SKILLETFISH,Skilletfish,Demersal,,G, STRUMOSUS,G. strumosus,G. strumosus,A
GOBIONELLUS BOLEOSOMA,DARTER GOBY,Gobies and Blennies,Demersal,,G, BOLEOSOMA,G. boleosoma,G. boleosoma,A
GOBIONELLUS OCEANICUS,HIGHFIN GOBY,Gobies and Blennies,Demersal,,G, OCEANICUS,G. oceanicus,G. oceanicus,A
GOBIOSOMA BOSC,NAKED GOBY,Gobies and Blennies,Demersal,,G, BOSC,G. bosc,G. bosc,A
GYMNURA SPP,BUTTERFLY RAYS,Butterfly Rays,Demersal,Elasmobranchs,G, SPP,G. spp,Gymnura spp.,A
GYMNURA ALTAVELA,SPINY BUTTERFLY RAY,Spiny Butterfly Ray,Demersal,Elasmobranchs,G, ALTAVELA,G. altavela,G. altavela,A
GYMNURA MICRURA,SMOOTH BUTTERFLY RAY,Smooth Butterfly Ray,Demersal,Elasmobranchs,G, MICRURA,G. micrura,G. micrura,A
HAEMULON AUROLINEATUM,TOMTATE,Tomtate,Demersal,,H, AUROLINEATUM,H. aurolineatum,H. aurolineatum,A
HEPATUS EPHELITICUS,SHAMEFACED CRAB,Shamefaced Crab,Demersal,Crustacean,H, EPHELITICUS,H. epheliticus,H. epheliticus,A
HIPPOCAMPUS SPP,SEAHORSES,Seahorses,Demersal,,H, SPP,H. spp,Hippocampus spp.,A
HIPPOCAMPUS ERECTUS,LINED SEAHORSE,Seahorses,Demersal,,H, ERECTUS,H. erectus,H. erectus,A
HYPLEUROCHILUS GEMINATUS,CRESTED BLENNY,Gobies and Blennies,Demersal,,H, GEMINATUS,H. geminatus,H. geminatus,A
HYPSOBLENNIUS HENTZ,FEATHER BLENNY,Gobies and Blennies,Demersal,,H, HENTZ,H. hentz,H. hentz,A
ILLEX ILLECEBROSUS,NORTHERN SHORTFIN SQUID,Northern Shortfin Squid,Pelagic,,I, ILLECEBROSUS,I. illecebrosus,I. illecebrosus,A
LACHNOLAIMUS MAXIMUS,HOGFISH,Hogfish,Demersal,,L, MAXIMUS,L. maximus,L. maximus,A
LAGOCEPHALUS LAEVIGATUS,SMOOTH PUFFER,Smooth Puffer,Demersal,,L, LAEVIGATUS,L. laevigatus,L. laevigatus,A
LAGODON RHOMBOIDES,PINFISH,Pinfish,Demersal,,L, RHOMBOIDES,L. rhomboides,L. rhomboides,A
LARIMUS FASCIATUS,BANDED DRUM,Banded Drum,Demersal,,L, FASCIATUS,L. fasciatus,L. fasciatus,A
LEIOSTOMUS XANTHURUS,SPOT,Spot,Demersal,,L, XANTHURUS,L. xanthurus,L. xanthurus,A
LEPIDOCHELYS KEMPII,KEMP'S RIDLEY SEA TURTLE,Kemp's Ridley Sea Turtle,Pelagic,,L, KEMPII,L. kempii,L. kempii,A
LEPISOSTEUS OSSEUS,LONGNOSE GAR,Longnose Gar,Demersal,,L, OSSEUS,L. osseus,L. osseus,A
LEPOMIS GIBBOSUS,PUMPKINSEED,Pumpkinseed,Demersal,,L, GIBBOSUS,L. gibbosus,L. gibbosus,A
LEPOMIS MACROCHIRUS,BLUEGILL,Bluegill,Demersal,,L, MACROCHIRUS,L. macrochirus,L. macrochirus,A
LIBINIA SPP,,Spider Crabs,Demersal,Crustacean,L, SPP,L. spp,Libinia spp.,A
LIBINIA DUBIA,LONGNOSE SPIDER CRAB,Spider Crabs,Demersal,Crustacean,L, DUBIA,L. dubia,L. dubia,A
LIBINIA EMARGINATA,PORTLY SPIDER CRAB,Spider Crabs,Demersal,Crustacean,L, EMARGINATA,L. emarginata,L. emarginata,A
LIMULUS POLYPHEMUS,,Horseshoe Crabs,Demersal,Crustacean,L, POLYPHEMUS,L. polyphemus,L. polyphemus,A
LITOPENAEUS SETIFERUS,WHITE SHRIMP,White Shrimp,Demersal,Crustacean,L, SETIFERUS,L. setiferus,L. setiferus,A
