SPECIESSCIENTIFICNAME,SPECIESCOMMONNAME,SpeciesCommonNameNew,Habitat,OtherCategory,GENUS,SPECIES,Species 2,Species,Identifier
SYNGNATHUS SPP,SEAWEED PIPEFISHES,Pipefishes,Demersal,,S, SPP,S. spp,Syngnathus spp.,A
SYNGNATHUS FLORIDAE,BERMUDA DUSKY PIPEFISH,Pipefishes,Demersal,,S, FLORIDAE,S. floridae,S. floridae,A
SYNGNATHUS FUSCUS,NORTHERN PIPEFISH,Pipefishes,Demersal,,S, FUSCUS,S. fuscus,S. fuscus,A
SYNGNATHUS LOUISIANAE,CHAIN PIPEFISH,Pipefishes,Demersal,,S, LOUISIANAE,S. louisianae,S. louisianae,A
SYNODUS SPP,LIZARD FISHES,Other Lizardfishes,Demersal,,S, SPP,S. spp,Synodus spp.,A
SYNODUS FOETENS,INSHORE LIZARDFISH,Inshore Lizardfish,Demersal,,S, FOETENS,S. foetens,S. foetens,A
SYNODUS INTERMEDIUS,SAND DIVER,Sand Diver,Demersal,,S, INTERMEDIUS,S. intermedius,S. intermedius,A
TAUTOGA ONITIS,TAUTOG,Tautog,Demersal,,T, ONITIS,T. onitis,T. onitis,A
TRACHINOTUS CAROLINUS,FLORIDA POMPANO,Florida Pompano,Pelagic,,T, CAROLINUS,T. carolinus,T. carolinus,A
TRACHURUS SPP,SAURELS,Saurels,Pelagic,,T, SPP,T. spp,Trachurus spp.,A
TRICHIURUS LEPTURUS,ATLANTIC CUTLASSFISH,Atlantic Cutlassfish,Pelagic,,T, LEPTURUS,T. lepturus,T. lepturus,A
TRIGLIDAE SPP,SEAROBINS,Searobins,Demersal,,T, SPP,T. spp,Triglidae,A
TRINECTES MACULATUS,HOGCHOKER,Hogchoker,Demersal,,T, MACULATUS,T. maculatus,T. maculatus,A
TYLOSURUS CROCODILUS,HOUNDFISH,Houndfish,Pelagic,,T, CROCODILUS,T. crocodilus,T. crocodilus,A
UPENEUS PARVUS,DWARF GOATFISH,Dwarf Goatfish,Demersal,,U, PARVUS,U. parvus,U. parvus,A
UROPHYCIS REGIA,SPOTTED HAKE,Spotted Hake,Demersal,,U, REGIA,U. regia,U. regia,A
XANTHIDAE SPP,MUD CRABS,Mud Crabs,Demersal,Crustacean,X, SPP,X. spp,Xanthidae,A
