"","Speciesscientificname","Speciescommonname","Species"
"359",NA,"three-spined stickleback","G. aculeatus"
"360",NA,"killfishes","Fundulus spp."
"361",NA,"red cornetfish","F. petimba"
"362",NA,"striped killifish","F. majalis"
"363",NA,"spotfin killifish","F. luciae"
"364",NA,"mummichog","F. heteroclitus"
"365",NA,"banded killifish","F. diaphanus"
"366",NA,"marsh killifish","F. confluentus"
"367",NA,"american eel","Elopmorpha ang. anguilloidei"
"368",NA,"tarpons","Elopiformes"
"369",NA,"tesselated darter","E. olmstedi"
"370",NA,"bluespotted sunfish","E. gloriosus"
"371",NA,"spotfin mojarra","E. argenteus"
"372",NA,"jacks","Caranx spp."
"373",NA,"crayfishes","Cambarus spp."
"374",NA,"sheepshead minnow","C. variegatus"
"375",NA,"gobies and blennies","C. stigmaticus"
"376",NA,"gobies and blennies","C. shufeldti"
"377",NA,"gobies and blennies","C. punctipectophorus"
"378",NA,"flier sunfish","C. macropterus"
"379",NA,"dolphinfish","C. hippurus"
"380",NA,"common carp","C. carpio"
"381",NA,"gobies and blennies","C. boleosoma"
"382",NA,"needlefishes","Belonidae"
"383",NA,"triggerfishes","Balistidae"
"384",NA,"silversides","Atherinidae"
"385",NA,"crayfishes","Astacidae"
