Control1,Program,Year,Month,Day,Location,Gear1,Station,Grid,Quad,Time,Duration (minutes),SedSize,BtmComp,Depth (m),Surface Temp ©,Bottom Temp ©,Surface Salinity (ppt),Bottom Salinity (ppt),Surface DO (mg/L),Bottom DO (mg/L),Weather,WindDir,WindSpd (knots),WaterLvl,SECCHI (cm),NbrRec3,Control3,Species,SpStatus,ColNum,COMBT,CORE,LAT,LONG,LAT_DD,LONG_DD
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,F. aztecus,0,100,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,F. duorarum,0,18,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,C. sapidus,0,3,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,B. tyrannus,0,4,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,A. mitchilli,0,1,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,L. rhomboides,0,4,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,B. chrysoura,0,2,CC70601110000,2,344930,762729,34.825,-76.458
7100372,120,1971,5,24,601110000,556,CC7,,,,1,9,B,1,24,,21,,,,,,,flood (high),,8,7.10037E+19,L. xanthurus,0,6,CC70601110000,2,344930,762729,34.825,-76.458
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,F. aztecus,0,160,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,C. sapidus,0,8,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,B. tyrannus,1,41,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,B. tyrannus,2,48,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,Strongylura spp.,0,1,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,F. heteroclitus,0,6,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,M. menidia,0,9,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,P. saltatrix,0,14,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,T. falcatus,0,1,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,E. gula,0,3,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,L. rhomboides,0,4,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,C. regalis,0,4,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,B. chrysoura,0,18,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,L. xanthurus,0,13,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,M. cephalus,0,17,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,P. dentatus,0,2,CC50702000200,2,344905,763722,34.818,-76.623
7100469,120,1971,6,15,702000200,556,CC5,,,,1,9,O,2,29,,24.5,,,,,,,early flood,,17,7.10047E+19,S. plagiusa,0,2,CC50702000200,2,344905,763722,34.818,-76.623
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,F. aztecus,0,50,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,B. tyrannus,0,5,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,A. mitchilli,0,150,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,E. gula,0,3,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,L. rhomboides,0,8,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,B. chrysoura,0,27,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,L. xanthurus,0,70,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,M. undulatus,0,2,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,M. curema,0,1,CC60601130100,0,344820,762852,34.806,-76.481
7100601,120,1971,7,29,601130100,556,CC6,,,,1,9,B,1,26.8,,2,,,,,,,early flood,,10,7.1006E+19,P. lethostigma,0,2,CC60601130100,0,344820,762852,34.806,-76.481
7100660,120,1971,8,19,702000200,556,CC5,,,,1,9,O,2,25,,2,,,,,,,flood (high),,7,7.10066E+19,F. aztecus,0,118,CC50702000200,0,344905,763722,34.818,-76.623
7100660,120,1971,8,19,702000200,556,CC5,,,,1,9,O,2,25,,2,,,,,,,flood (high),,7,7.10066E+19,F. duorarum,0,11,CC50702000200,0,344905,763722,34.818,-76.623
7100660,120,1971,8,19,702000200,556,CC5,,,,1,9,O,2,25,,2,,,,,,,flood (high),,7,7.10066E+19,L. setiferus,0,68,CC50702000200,0,344905,763722,34.818,-76.623
7100660,120,1971,8,19,702000200,556,CC5,,,,1,9,O,2,25,,2,,,,,,,flood (high),,7,7.10066E+19,A. mitchilli,0,41,CC50702000200,0,344905,763722,34.818,-76.623
7100660,120,1971,8,19,702000200,556,CC5,,,,1,9,O,2,25,,2,,,,,,,flood (high),,7,7.10066E+19,C. nebulosus,0,1,CC50702000200,0,344905,763722,34.818,-76.623
