gridID,gridA_km2,ITP_Manage,DPA_open_p,STP_p,WB_p,TDP_p,GPP_p,Restricted
"538","117",B,100.000000000000000,19.509365227638064,100.000000000000000,19.509417018889170,0.000000000000000,19.509417018889170
"539","117",B,16.569408790532492,16.655050160549756,16.769973501690551,16.655104055139212,0.000000000000000,16.655104055139212
"534","117",B,7.538421505094934,0.000000000000000,20.600813607632848,1.141794003748234,13.001756155885042,14.168503512089467
"504","117",B,69.130936574435765,0.000000000000000,74.683336570741247,3.622437064239612,0.000000000000000,6.555207937382822
"99","119",E,0.000000000000000,0.000000000000000,4.980520131079538,5.742331675412202,0.348014907738130,6.090348361999850
"68","119",E,0.000000000000000,0.000000000000000,12.772898974900670,11.849423667764549,4.070143260746552,15.919731500884337
"447","117",B,22.849550030616626,24.313934515107597,22.298115233349218,24.314040812198058,0.000000000000000,24.314040812198058
"406","117",C,22.801451151541858,22.801451108790442,24.429730363795631,0.000000000000000,1.547465545194387,24.348845530651403
"560","117",C,13.025063996273058,14.056827152475773,15.330610317292814,0.000000000000000,2.083401164866286,16.140244198106998
"526","117",C,15.087681223126914,18.671760366847952,21.753764438738763,0.000000000000000,3.508610534532538,22.179902885968477
"415","117",B,14.014817837026120,14.018189670511664,13.938351630616262,14.018249918795288,0.000000000000000,14.018249918795288
"445","117",B,98.452852901643084,40.006687086872297,98.491610121304703,40.010669615378987,0.000000000000000,40.010669615378987
"565","117",B,30.408615157466286,0.000000000000000,30.585715893883734,5.895284566831586,0.000000000000000,5.895284566831586
"379","117",C,11.782461334559173,0.149226241475052,67.728724739157073,1.249852014768770,0.000000000000000,57.384108243498446
"349","118",C,4.979947580523224,0.000000000000000,7.508768711330856,0.118969077693369,0.161508482876833,2.726848876495958
"527","117",C,25.518336335083674,29.749735904227375,30.826236981254745,0.000000000000000,1.348060546917780,31.097786141800270
"598","116",B,99.770903112206938,48.995016233292851,99.764410764058383,48.995031747488419,0.000000000000000,48.995031747488419
"347","118",C,0.868848975075751,3.156202114979469,7.899571679616304,0.000000000000000,4.289700175837170,7.446153793441542
"283","118",E,0.000000000000000,0.000000000000000,25.801906269372708,25.013085704859122,1.452656016531075,26.466131109277956
"253","118",E,0.000000000000000,0.000000000000000,36.864317203986722,36.420527261025732,0.536850472388746,36.957330380854359
"500","117",C,12.688248565929936,19.656375957462735,77.282133988645668,2.541842571447130,1.257901748382993,73.615070804042276
"502","117",B,32.847887004637670,0.000000000000000,37.273422667223798,3.906776640733519,0.000000000000000,7.516416350295254
"377","117",C,43.428614388959851,60.471721839671496,61.594295228368352,0.000000000000000,1.406352277066161,61.877812956772736
"499","117",C,15.991734068816166,65.230928545815502,71.976686772497516,0.949026161438919,0.916712901519563,70.529789535384651
"223","118",E,0.000000000000000,0.000000000000000,14.828592695744812,14.727565826411359,0.000000000000000,14.727565826411359
"559","117",C,1.777407122604782,2.133136677769489,6.929970147331026,0.000000000000000,5.233620434474982,7.366768968134304
"38","119",E,0.000000000000000,7.772790163862194,38.687592108493320,38.225711053242875,0.173585351211777,38.399318131322744
"668","116",,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
"478","117",B,67.811782633114447,62.741472042500291,67.973672484408524,62.743332477271345,0.000000000000000,62.743332477271345
