"","lat_lon","gridID","dist_inlets","Wbd","Wbd_type"
"78","34.14333_-77.95611",98,10636.117918001,"Cape Fear River","River"
"79","34.145_-77.95694",98,10818.4957664814,"Cape Fear River","River"
"80","34.16167_-77.96722",98,12795.6054374328,"Cape Fear River","River"
"81","34.15139_-77.96889",98,12109.0552095245,"Cape Fear River","River"
"82","34.14667_-77.94611",98,10250.8066285993,"Cape Fear River","River"
"83","34.16139_-77.96611",98,12702.6366253966,"Cape Fear River","River"
"84","34.16056_-77.96472",98,12547.703160701,"Cape Fear River","River"
"85","34.14611_-77.94583",98,10187.4295545856,"Cape Fear River","River"
"86","34.14556_-77.94667",98,10194.8954285234,"Cape Fear River","River"
"87","34.15583_-77.94444",98,10930.1463575454,"Cape Fear River","River"
"88","34.14889_-77.96",98,11320.3986987928,"Cape Fear River","River"
"89","34.14667_-77.95833",98,11038.9100327443,"Cape Fear River","River"
"90","34.1575_-77.94444",98,11076.8792554556,"Cape Fear River","River"
"91","34.15639_-77.94583",98,11058.237983254,"Cape Fear River","River"
"92","34.267_-77.984",128,18747.9049640476,"Cape Fear River","River"
"93","34.252_-77.968",128,16650.2055487278,"Cape Fear River","River"
"94","34.10667_-77.92972",99,6234.25926502492,"Cape Fear River","River"
"95","34.06667_-77.93056",68,5620.35046655091,"Cape Fear River","River"
"96","33.99222_-77.92472",39,10781.4323637261,"Cape Fear River","River"
"97","33.99111_-77.93889",38,11541.2652055924,"Cape Fear River","River"
"98","34.06306_-77.92278",69,5048.0082034289,"Cape Fear River","River"
"99","34.10972_-77.94639",98,7746.12902401846,"Cape Fear River","River"
"100","34.07333_-77.94111",68,6462.17838043694,"Cape Fear River","River"
"101","34.10694_-77.92889",99,6183.65691679255,"Cape Fear River","River"
"102","34.08667_-77.94444",68,6804.89360092374,"Cape Fear River","River"
"103","34.04583_-77.92389",69,6057.76599825428,"Cape Fear River","River"
"104","34.05056_-77.93556",68,6689.01880586418,"Cape Fear River","River"
"105","33.98889_-77.92722",39,11216.1743177199,"Cape Fear River","River"
"106","34.09333_-77.92583",99,5294.33232082923,"Cape Fear River","River"
"107","34.11556_-77.945",98,7948.67282498301,"Cape Fear River","River"
"108","34.11278_-77.94444",98,7747.85837658501,"Cape Fear River","River"
"109","34.005_-77.92333",69,9474.03783321874,"Cape Fear River","River"
"110","34.04694_-77.93611",68,6928.65407360283,"Cape Fear River","River"
"111","34.09639_-77.92972",99,5744.7577729812,"Cape Fear River","River"
"112","34.04056_-77.93333",68,7105.44504515359,"Cape Fear River","River"
"113","34.09722_-77.93972",98,6644.46534330879,"Cape Fear River","River"
"114","34.03278_-77.91917",69,6730.66413764957,"Cape Fear River","River"
"115","34.06333_-77.92944",69,5619.90468762256,"Cape Fear River","River"
"116","33.98667_-77.92167",39,11214.4562622901,"Cape Fear River","River"
"117","34.04222_-77.94306",68,7747.61290590188,"Cape Fear River","River"
"118","34.07444_-77.92417",69,4897.14486148517,"Cape Fear River","River"
"119","34.12556_-77.92944",99,7495.12268167511,"Cape Fear River","River"
"120","34.00306_-77.93083",68,10022.0660918309,"Cape Fear River","River"
"121","33.97278_-77.94",38,13350.6139897288,"Cape Fear River","River"
"122","34.06083_-77.92083",69,4971.85753877438,"Cape Fear River","River"
"123","34.07694_-77.94",68,6336.90924772908,"Cape Fear River","River"
"124","34.09472_-77.92667",99,5417.46770369885,"Cape Fear River","River"
"125","34.03806_-77.91944",69,6316.85858826752,"Cape Fear River","River"
