"","lat_lon","gridID"
"6","33.88472_-77.98361",76
"1377","33.917_-78.36",129
"1379","33.934_-78.362",129
"5","33.9125_-78.00417",135
"40","33.89972_-78.02528",135
"33","33.91361_-77.975",136
"1378","33.972_-78.379",189
"1380","33.956_-78.364",189
"2","33.96972_-77.955",196
"22","33.95722_-77.96833",196
"36","33.96639_-77.93639",196
"39","33.94833_-77.94861",196
"42","33.98889_-77.92722",197
"1375","33.982_-77.922",197
"11","33.99778_-77.93167",256
"26","33.99639_-77.93333",256
"37","34.00472_-77.93083",256
"12","34.01528_-77.91889",257
"16","33.99833_-77.92056",257
"17","34.01917_-77.92833",257
"23","34.02_-77.93",257
"29","34.00833_-77.91722",257
"4","34.05417_-77.94222",316
"27","34.07472_-77.94083",316
"31","34.07194_-77.93139",316
"32","34.05028_-77.94361",316
"35","34.07361_-77.94139",316
"43","34.06722_-77.94139",316
"45","34.04417_-77.93639",316
"1","34.08972_-77.92556",317
"14","34.04556_-77.92222",317
"25","34.0875_-77.92333",317
"28","34.06056_-77.92056",317
"9","34.1125_-77.94167",376
"13","34.10333_-77.94806",376
"15","34.12778_-77.94389",376
"20","34.12528_-77.95222",376
"44","34.10083_-77.93278",376
"46","34.09806_-77.94028",376
"1374","34.129_-77.95",376
"3","34.12417_-77.92583",377
"10","34.09167_-77.925",377
"24","34.12722_-77.92583",377
"41","34.09333_-77.92583",377
"1376","34.124_-77.929",377
"7","34.15528_-77.94417",436
"8","34.155_-77.96528",436
"18","34.15611_-77.96583",436
"19","34.16056_-77.9525",436
"21","34.15611_-77.96444",436
"30","34.16389_-77.95333",436
"34","34.15528_-77.94472",436
"38","34.14472_-77.94444",436
"1373","34.267_-77.984",556
"1387","34.266_-77.947",556
"1388","34.252_-77.968",556
"1372","34.431_-77.606",802
"1368","34.475_-77.464",864
"1369","34.477_-77.475",864
"1371","34.506_-77.466",864
"1370","34.517_-77.424",865
"596","34.58694_-77.38833",985
"606","34.59028_-77.43528",985
"608","34.6_-77.43639",985
"610","34.60417_-77.38861",985
"612","34.61583_-77.38806",985
"614","34.58389_-77.39444",985
"617","34.58889_-77.43333",985
"621","34.58111_-77.40333",985
"623","34.5975_-77.43583",985
"628","34.57611_-77.4225",985
"629","34.59083_-77.39556",985
"635","34.59722_-77.39472",985
"639","34.58083_-77.42361",985
"642","34.58694_-77.42722",985
"646","34.61083_-77.39361",985
"662","34.59361_-77.42917",985
"665","34.59806_-77.43333",985
"674","34.5825_-77.41139",985
"677","34.59167_-77.40806",985
"683","34.57972_-77.42222",985
"1381","34.593_-77.398",985
"591","34.58472_-77.37583",986
"594","34.57778_-77.38167",986
"598","34.58361_-77.37778",986
"602","34.60306_-77.37417",986
"620","34.5725_-77.36083",986
"632","34.61361_-77.3625",986
"644","34.58889_-77.36861",986
"650","34.6025_-77.38056",986
"656","34.60333_-77.37722",986
"660","34.60417_-77.37694",986
"680","34.60417_-77.3625",986
"648","34.61667_-77.42139",1045
"654","34.61667_-77.42444",1045
"658","34.61667_-77.42361",1045
"671","34.61694_-77.42889",1045
"1382","34.625_-77.43",1045
"589","34.63417_-77.37472",1046
"597","34.64389_-77.37139",1046
"600","34.6225_-77.37667",1046
"604","34.63528_-77.34222",1046
"616","34.63639_-77.37611",1046
"626","34.62917_-77.37333",1046
"634","34.63722_-77.37194",1046
"637","34.61944_-77.38056",1046
"640","34.655_-77.37944",1046
"645","34.64472_-77.35028",1046
"652","34.63194_-77.35333",1046
"659","34.6575_-77.38",1046
"664","34.63611_-77.37417",1046
"668","34.62806_-77.35194",1046
"669","34.61806_-77.37944",1046
"676","34.61972_-77.36167",1046
"682","34.61611_-77.36583",1046
"1383","34.636_-77.331",1046
"592","34.67444_-77.39972",1105
"593","34.67333_-77.39833",1105
"595","34.70639_-77.38694",1105
"601","34.70278_-77.42778",1105
"607","34.69139_-77.42194",1105
"609","34.70611_-77.42889",1105
"613","34.69611_-77.40972",1105
"618","34.71139_-77.42889",1105
"630","34.6775_-77.39278",1105
"631","34.68944_-77.40889",1105
"636","34.66806_-77.39528",1105
"641","34.70611_-77.39611",1105
"643","34.69444_-77.42111",1105
"649","34.70639_-77.42667",1105
"653","34.69361_-77.42278",1105
"661","34.70667_-77.3925",1105
"667","34.66694_-77.38694",1105
"672","34.70194_-77.41278",1105
"673","34.69639_-77.40917",1105
"681","34.69528_-77.40806",1105
"603","34.67306_-77.37",1106
"611","34.69028_-77.3725",1106
"619","34.66556_-77.38472",1106
"622","34.6725_-77.36917",1106
"627","34.67278_-77.36444",1106
"638","34.70056_-77.37778",1106
"651","34.66528_-77.36",1106
"670","34.66889_-77.36056",1106
"684","34.67222_-77.36667",1106
"328","34.68417_-77.10722",1110
"1255","34.685_-77.10528",1110
"319","34.67972_-77.05222",1111
"1249","34.67167_-77.05083",1111
"324","34.68306_-76.97917",1112
"1253","34.69278_-76.96083",1112
"322","34.70611_-76.82",1115
"325","34.705_-76.78944",1115
"590","34.73639_-77.42833",1165
"599","34.73639_-77.42389",1165
"605","34.71278_-77.39722",1165
"615","34.72833_-77.42528",1165
"624","34.71944_-77.40972",1165
"633","34.72278_-77.39306",1165
"655","34.72028_-77.40917",1165
"657","34.71944_-77.42722",1165
"663","34.71889_-77.40972",1165
"666","34.71389_-77.39833",1165
"675","34.71972_-77.40889",1165
"678","34.74028_-77.42417",1165
"679","34.71972_-77.40833",1165
"1257","34.72306_-77.38694",1165
"1385","34.738_-77.426",1165
"1386","34.756_-77.436",1165
"625","34.72444_-77.36361",1166
"647","34.72222_-77.38028",1166
"1384","34.724_-77.383",1166
"330","34.74417_-77.13361",1170
"1270","34.74167_-77.13333",1170
"332","34.72417_-76.8",1175
"1251","34.72167_-76.81556",1175
"1274","34.72028_-76.79111",1175
"1279","34.72417_-76.80611",1175
"1286","34.752_-76.751",1176
"1291","34.731_-76.448",1181
"327","34.7725_-76.69139",1237
"1269","34.77333_-76.69361",1237
"1289","34.789_-76.61",1238
"1290","34.806_-76.481",1240
"1292","34.772_-76.424",1241
"1288","34.818_-76.623",1298
"320","34.82361_-76.45333",1301
"333","34.80778_-76.45083",1301
"1250","34.82056_-76.435",1301
"1261","34.81_-76.45",1301
"1293","34.825_-76.458",1301
"331","34.82056_-76.37306",1302
"1260","34.81917_-76.37528",1302
"1303","34.865_-76.762",1356
"1254","34.89389_-76.32417",1363
"351","34.94417_-76.86028",1414
"417","34.94833_-76.86861",1414
"421","34.94417_-76.85917",1414
"429","34.94417_-76.85972",1414
"455","34.93722_-76.84083",1414
"478","34.94917_-76.86",1414
"503","34.93833_-76.84111",1414
"556","34.9425_-76.85306",1414
"338","34.93_-76.78583",1415
"344","34.93889_-76.815",1415
"362","34.94139_-76.815",1415
"365","34.93111_-76.78917",1415
"368","34.93833_-76.83861",1415
"372","34.93889_-76.81583",1415
"376","34.93778_-76.83806",1415
"399","34.92528_-76.77972",1415
"406","34.93583_-76.80306",1415
"432","34.93611_-76.80528",1415
"435","34.94111_-76.82694",1415
"449","34.925_-76.78111",1415
"454","34.92833_-76.78611",1415
"465","34.93111_-76.78833",1415
"471","34.93611_-76.81361",1415
"489","34.94556_-76.81444",1415
"492","34.93194_-76.79",1415
"495","34.93972_-76.83861",1415
"499","34.94472_-76.81472",1415
"534","34.93778_-76.80472",1415
"559","34.93861_-76.80611",1415
"562","34.94472_-76.82361",1415
"576","34.92694_-76.78",1415
"581","34.93139_-76.78889",1415
"582","34.93861_-76.83889",1415
"1723","34.93330002_-76.78330231",1415
"1904","34.95000076_-76.80000305",1415
"1961","34.95000076_-76.8167038",1415
"2042","34.95_-76.8",1415
"2141","34.95_-76.83333",1415
"2142","34.93333_-76.78333",1415
"352","34.91806_-76.76611",1416
"369","34.92333_-76.77667",1416
"410","34.92361_-76.77722",1416
"479","34.92028_-76.76611",1416
"496","34.925_-76.77611",1416
"532","34.92611_-76.77833",1416
"537","34.92333_-76.77444",1416
"1391","34.91669846_-76.76670074",1416
"1496","34.95000076_-76.76670074",1416
"1545","34.93330002_-76.75",1416
"1651","34.95000076_-76.73329926",1416
"2062","34.9333_-76.7667",1416
"2143","34.93333_-76.75",1416
"416","34.93917_-76.71667",1417
"2114","34.95_-76.7167",1417
"1287","34.94_-76.637",1418
"1302","34.95_-76.591",1419
"334","34.94222_-76.44333",1421
"1262","34.94278_-76.44139",1421
"1298","34.923_-76.437",1421
"1299","34.942_-76.464",1421
"1294","34.923_-76.359",1422
"1297","34.937_-76.406",1422
"326","34.90861_-76.32444",1423
"1295","34.95_-76.289",1424
"329","34.94972_-76.21806",1425
"1256","34.94833_-76.22056",1425
"345","34.97833_-76.93917",1473
"354","34.96222_-76.90833",1473
"359","34.9725_-76.9325",1473
"367","34.9675_-76.9175",1473
"377","34.97667_-76.93861",1473
"401","34.97139_-76.93167",1473
"405","34.99139_-76.95972",1473
"427","34.97167_-76.92889",1473
"431","34.97056_-76.92806",1473
"441","34.98694_-76.94917",1473
"447","34.9825_-76.94528",1473
"460","34.98083_-76.94194",1473
"472","34.98083_-76.93889",1473
"481","34.965_-76.9025",1473
"486","34.97306_-76.93167",1473
"494","34.97278_-76.91889",1473
"504","34.97694_-76.93722",1473
"528","34.97278_-76.92833",1473
"533","34.99111_-76.95472",1473
"545","34.96611_-76.90028",1473
"549","34.96528_-76.90361",1473
"554","34.97306_-76.925",1473
"558","34.97278_-76.92361",1473
"568","34.9875_-76.9475",1473
"574","34.9825_-76.94472",1473
"587","34.98056_-76.93861",1473
"337","34.98722_-76.84389",1474
"355","34.98861_-76.84611",1474
"380","34.98889_-76.84528",1474
"386","34.95194_-76.89722",1474
"389","34.98972_-76.84639",1474
"394","34.96611_-76.8925",1474
"422","34.95111_-76.89444",1474
"425","34.99333_-76.87778",1474
"440","34.98556_-76.84222",1474
"444","34.96028_-76.8975",1474
"459","34.95917_-76.89889",1474
"464","34.98389_-76.84583",1474
"482","34.985_-76.84278",1474
"507","34.98806_-76.84917",1474
"514","34.95167_-76.8975",1474
"517","34.98667_-76.84667",1474
"522","34.965_-76.89583",1474
"548","34.985_-76.84778",1474
"567","34.98639_-76.84722",1474
"571","34.96389_-76.89556",1474
"586","34.96333_-76.8975",1474
"1587","34.98329926_-76.90000153",1474
"1588","34.96670151_-76.84999847",1474
"1902","34.98329926_-76.86669922",1474
"1948","34.98329926_-76.88330078",1474
"2043","34.9667_-76.8667",1474
"341","34.97194_-76.82139",1475
"342","34.97278_-76.79028",1475
"398","34.98139_-76.83583",1475
"402","34.97333_-76.78972",1475
"403","34.97194_-76.82111",1475
"424","34.97389_-76.78556",1475
"446","34.96417_-76.80306",1475
"450","34.97056_-76.81806",1475
"468","34.97056_-76.82611",1475
"469","34.97167_-76.78806",1475
"526","34.98_-76.83778",1475
"529","34.9725_-76.78583",1475
"530","34.97111_-76.82306",1475
"544","34.95722_-76.83111",1475
"551","34.97111_-76.79278",1475
"573","34.96361_-76.80278",1475
"577","34.96806_-76.81889",1475
"1988","34.97_-76.83",1475
"343","34.98306_-76.76639",1476
"439","34.97611_-76.77194",1476
"453","34.99583_-76.74583",1476
"470","34.98_-76.76222",1476
"566","34.97417_-76.77389",1476
"570","34.99722_-76.75444",1476
"580","34.99167_-76.74583",1476
"1722","34.98329926_-76.73329926",1476
"1947","34.96670151_-76.76670074",1476
"2041","34.9833_-76.7333",1476
"350","34.95639_-76.68889",1477
"361","34.97194_-76.66972",1477
"373","34.95667_-76.69389",1477
"375","34.97056_-76.67333",1477
"420","34.95944_-76.67667",1477
"430","34.95167_-76.70944",1477
"477","34.95861_-76.68778",1477
"488","34.9725_-76.67139",1477
"500","34.96083_-76.69472",1477
"502","34.9725_-76.67194",1477
"543","34.98361_-76.68306",1477
"557","34.9575_-76.71194",1477
"1392","34.98329926_-76.69999695",1477
"1479","34.98329926_-76.71669769",1477
"1724","34.98329926_-76.6832962",1477
"2061","34.9667_-76.7",1477
"2063","34.9833_-76.7",1477
"356","34.98778_-76.62333",1478
"379","34.98056_-76.64",1478
"387","34.98222_-76.64",1478
"390","34.98333_-76.64917",1478
"426","34.98361_-76.64694",1478
"457","34.98389_-76.64417",1478
"483","34.99167_-76.62889",1478
"506","34.9825_-76.64111",1478
"515","34.98111_-76.64056",1478
"518","34.98806_-76.64889",1478
"553","34.98972_-76.64778",1478
"584","34.99111_-76.64722",1478
"1661","34.98329926_-76.61669922",1478
"1301","34.99_-76.576",1479
"1775","34.98329926_-76.58329773",1479
"1300","34.979_-76.507",1480
"1252","34.9625_-76.43472",1481
"323","34.96167_-76.40722",1482
"1296","34.977_-76.267",1484
"321","34.96667_-76.2",1485
"1264","34.96417_-76.21611",1485
"339","35.04556_-76.98972",1532
"340","35.01944_-76.98139",1532
"349","35.04611_-76.99167",1532
"358","35.02111_-76.98167",1532
"371","35.01778_-76.98167",1532
"384","35.01333_-76.98028",1532
"385","35.03639_-76.98694",1532
"400","35.02194_-76.98361",1532
"418","35.02917_-76.98306",1532
"433","34.99944_-76.96972",1532
"438","35.04306_-76.98833",1532
"445","35.00889_-76.97917",1532
"466","35.04472_-76.985",1532
"467","35.02083_-76.98083",1532
"476","35.045_-76.98667",1532
"485","35.01972_-76.98111",1532
"498","35.02167_-76.98083",1532
"512","35.01611_-76.97917",1532
"513","35.03611_-76.98417",1532
"527","35.02861_-76.98333",1532
"560","35.00056_-76.97028",1532
"563","35.04611_-76.98889",1532
"565","35.04028_-76.98528",1532
"572","35.0125_-76.97833",1532
"1390","35.01670074_-76.96669769",1532
"1839","35.03329849_-76.96669769",1532
"363","35.04389_-76.94417",1533
"388","35.02944_-76.9225",1533
"451","35.02611_-76.90361",1533
"456","35.045_-76.94528",1533
"490","35.0425_-76.94694",1533
"516","35.02556_-76.92222",1533
"521","35.04444_-76.93583",1533
"541","35.03694_-76.94111",1533
"578","35.02583_-76.90361",1533
"583","35.04167_-76.94333",1533
"1494","35_-76.9332962",1533
"1903","35.01670074_-76.9332962",1533
"1989","35_-76.95",1533
"2044","35_-76.9167",1533
"346","35.01_-76.88389",1534
"366","35.0025_-76.87444",1534
"397","35.01361_-76.88722",1534
"411","35.00361_-76.87667",1534
"473","35.00639_-76.88444",1534
"493","35.00056_-76.87722",1534
"525","35.01083_-76.88944",1534
"538","35.0025_-76.87944",1534
"552","34.99944_-76.87889",1534
"1495","35_-76.90000153",1534
"443","34.99861_-76.75444",1536
"1366","35.03845_-76.725167",1536
"383","35.01278_-76.70528",1537
"395","35.04194_-76.65917",1537
"407","35.02667_-76.71639",1537
"437","35.02389_-76.69222",1537
"510","35.00806_-76.70139",1537
"535","35.02556_-76.71611",1537
"564","35.02222_-76.69361",1537
"1365","35.043467_-76.666183",1537
"1393","35_-76.6832962",1537
"1480","35_-76.69999695",1537
