"","lat_lon","gridID"
"356","34.04194_-77.92194",69
"357","34.02_-77.91917",69
"358","33.97194_-77.92667",69
"359","34.00917_-77.91667",69
"362","33.98861_-77.92222",69
"368","33.97306_-77.92444",69
"378","34.02278_-77.91778",69
"409","34.02389_-77.91972",69
"434","33.97083_-77.92472",69
"436","34.04111_-77.92111",69
"448","33.99222_-77.92472",69
"460","33.98889_-77.92722",69
"463","34.005_-77.92333",69
"468","34.03278_-77.91917",69
"470","33.98667_-77.92167",69
"482","34.03806_-77.91944",69
"484","33.99528_-77.92278",69
"13833","33.982_-77.922",69
"7","34.05083_-77.94361",98
"9","34.07778_-77.94139",98
"11","34.08111_-77.94111",98
"13","34.06861_-77.94167",98
"20","34.125_-77.95222",98
"24","34.10167_-77.94722",98
"28","34.05417_-77.94222",98
"29","34.06278_-77.94111",98
"40","34.08472_-77.94333",98
"41","34.12056_-77.95139",98
"47","34.11361_-77.9325",98
"48","34.11389_-77.9425",98
"51","34.06222_-77.94111",98
"53","34.04667_-77.93333",98
"60","34.09111_-77.94528",98
"82","34.11306_-77.94194",98
"83","34.12306_-77.93167",98
"89","34.04944_-77.93194",98
"90","34.08028_-77.94167",98
"91","34.12472_-77.95139",98
"94","34.04528_-77.93333",98
"95","34.05222_-77.94278",98
"105","34.1125_-77.94167",98
"111","34.07611_-77.94139",98
"114","34.09778_-77.94028",98
"115","34.05556_-77.94139",98
"116","34.10389_-77.94806",98
"117","34.09278_-77.94167",98
"119","34.08167_-77.94",98
"125","34.06889_-77.97472",98
"128","34.04611_-77.93361",98
"129","34.06444_-77.94139",98
"134","34.04694_-77.93389",98
"138","34.12528_-77.94306",98
"142","34.05056_-77.94389",98
"144","34.10333_-77.94806",98
"149","34.06806_-77.94083",98
"153","34.125_-77.945",98
"162","34.06278_-77.94056",98
"170","34.10861_-77.94778",98
"179","34.06222_-77.94056",98
"190","34.11861_-77.95111",98
"193","34.06306_-77.94194",98
"195","34.05028_-77.94417",98
"196","34.11389_-77.94278",98
"198","34.11472_-77.94861",98
"209","34.08694_-77.94083",98
"212","34.04583_-77.94472",98
"215","34.1225_-77.95111",98
"221","34.12528_-77.95222",98
"227","34.05361_-77.9425",98
"228","34.12444_-77.94806",98
"246","34.11583_-77.94444",98
"247","34.07389_-77.94056",98
"253","34.075_-77.94083",98
"264","34.07472_-77.94083",98
"268","34.10222_-77.94694",98
"280","34.06861_-77.94111",98
"290","34.12167_-77.95167",98
"292","34.09722_-77.93222",98
"294","34.11333_-77.94222",98
"300","34.04611_-77.94528",98
"301","34.11_-77.9325",98
"302","34.08639_-77.94083",98
"316","34.05361_-77.94222",98
"320","34.125_-77.94333",98
"328","34.09222_-77.945",98
"332","34.04694_-77.94528",98
"333","34.07194_-77.93139",98
"334","34.05028_-77.94361",98
"360","34.11361_-77.94194",98
"364","34.11111_-77.94167",98
"370","34.07361_-77.94139",98
"376","34.04944_-77.93306",98
"381","34.04611_-77.945",98
"391","34.09556_-77.94139",98
"399","34.085_-77.94028",98
"407","34.11417_-77.945",98
"410","34.08806_-77.94056",98
"412","34.04583_-77.93278",98
"414","34.04806_-77.94528",98
"443","34.06667_-77.93056",98
"449","34.10972_-77.94639",98
"452","34.07333_-77.94111",98
"453","34.08667_-77.94444",98
"456","34.05056_-77.93556",98
"461","34.11278_-77.94444",98
"462","34.11556_-77.945",98
"464","34.04694_-77.93611",98
"467","34.09722_-77.93972",98
"477","34.07694_-77.94",98
"481","34.06806_-77.94111",98
"485","34.10889_-77.9475",98
"486","34.06306_-77.9325",98
"496","34.06722_-77.94139",98
"497","34.10083_-77.93278",98
"499","34.09806_-77.94028",98
"504","34.04556_-77.945",98
"505","34.10806_-77.93194",98
"509","34.11333_-77.94167",98
"14","34.06389_-77.92278",99
"25","34.08972_-77.92556",99
"27","34.12417_-77.92583",99
"30","34.04722_-77.92222",99
"33","34.09444_-77.92667",99
"49","34.10556_-77.92972",99
"50","34.085_-77.92361",99
"62","34.07667_-77.92556",99
"64","34.05944_-77.92056",99
"71","34.11611_-77.92778",99
"78","34.05806_-77.91972",99
"80","34.07278_-77.92528",99
"84","34.11167_-77.92722",99
"92","34.07694_-77.925",99
"93","34.0675_-77.92528",99
"96","34.04667_-77.92194",99
"104","34.08528_-77.925",99
"106","34.09167_-77.925",99
"135","34.1075_-77.8975",99
"136","34.09806_-77.92944",99
"145","34.04556_-77.92222",99
"156","34.06083_-77.92056",99
"159","34.09667_-77.92972",99
"163","34.08778_-77.92389",99
"186","34.045_-77.92222",99
"187","34.10472_-77.92556",99
"192","34.09722_-77.92972",99
"203","34.0825_-77.925",99
"210","34.10861_-77.92806",99
"214","34.07444_-77.92583",99
"216","34.10361_-77.92806",99
"218","34.07472_-77.91583",99
"229","34.065_-77.92278",99
"236","34.05528_-77.91917",99
"240","34.09667_-77.92611",99
"242","34.10389_-77.92556",99
"244","34.06861_-77.92528",99
"248","34.0875_-77.92417",99
"258","34.07194_-77.92528",99
"262","34.0875_-77.92333",99
"267","34.0975_-77.93",99
"275","34.07306_-77.925",99
"282","34.05806_-77.91917",99
"284","34.06778_-77.92472",99
"289","34.05917_-77.92028",99
"297","34.06056_-77.92056",99
"303","34.09778_-77.92944",99
"305","34.07361_-77.92472",99
"312","34.08944_-77.92528",99
"313","34.065_-77.92306",99
"314","34.11583_-77.9275",99
"319","34.11194_-77.92917",99
"325","34.10611_-77.9275",99
"339","34.09722_-77.91944",99
"346","34.09694_-77.92972",99
"355","34.1075_-77.92944",99
"369","34.10972_-77.92889",99
"377","34.07278_-77.92472",99
"384","34.08694_-77.92278",99
"385","34.07528_-77.92472",99
"386","34.06389_-77.92389",99
"387","34.0975_-77.92583",99
"390","34.06472_-77.92278",99
"394","34.06611_-77.92389",99
"402","34.07528_-77.92444",99
"413","34.07306_-77.92472",99
"419","34.12472_-77.92639",99
"424","34.09306_-77.92556",99
"441","34.06167_-77.93",99
"442","34.09639_-77.92972",99
"444","34.10667_-77.92972",99
"450","34.06306_-77.92278",99
"451","34.10694_-77.92889",99
"455","34.04583_-77.92389",99
"459","34.09333_-77.92583",99
"469","34.06333_-77.92944",99
"474","34.07444_-77.92417",99
"478","34.06083_-77.92083",99
"480","34.09472_-77.92667",99
"487","34.09917_-77.92639",99
"490","34.11167_-77.92917",99
"492","34.06556_-77.92889",99
"493","34.09111_-77.92583",99
"500","34.10333_-77.92556",99
"501","34.06194_-77.92222",99
"507","34.07361_-77.92444",99
"13832","34.124_-77.929",99
"8","34.13889_-77.95694",128
"10","34.13167_-77.95472",128
"12","34.14194_-77.9575",128
"17","34.165_-77.95694",128
"23","34.15139_-77.94417",128
"39","34.13722_-77.93583",128
"42","34.13889_-77.95639",128
"52","34.13028_-77.95472",128
"61","34.14639_-77.95972",128
"67","34.15528_-77.94417",128
"68","34.155_-77.96528",128
"73","34.12778_-77.95306",128
"79","34.13861_-77.95722",128
"81","34.1575_-77.94389",128
"109","34.13944_-77.9575",128
"110","34.16278_-77.95333",128
"112","34.13528_-77.95556",128
"118","34.13611_-77.93472",128
"122","34.15278_-77.94389",128
"123","34.16361_-77.9525",128
"126","34.16222_-77.96806",128
"127","34.14722_-77.96111",128
"130","34.14778_-77.96111",128
"131","34.13111_-77.955",128
"139","34.14528_-77.94417",128
"140","34.14472_-77.945",128
"141","34.15361_-77.94444",128
"146","34.12778_-77.94389",128
"154","34.14194_-77.95778",128
"158","34.1575_-77.95083",128
"168","34.15056_-77.94639",128
"169","34.13306_-77.95472",128
"174","34.15139_-77.94444",128
"175","34.135_-77.9325",128
"184","34.15611_-77.96583",128
"185","34.16056_-77.9525",128
"191","34.15639_-77.96472",128
"197","34.1375_-77.93639",128
"199","34.14833_-77.94333",128
"200","34.16583_-77.96528",128
"202","34.12611_-77.95306",128
"204","34.14444_-77.94361",128
"205","34.12778_-77.945",128
"207","34.16333_-77.95333",128
"208","34.13889_-77.94111",128
"217","34.15806_-77.95028",128
"222","34.15611_-77.96444",128
"225","34.16306_-77.94778",128
"230","34.16139_-77.94583",128
"231","34.14472_-77.94194",128
"233","34.14472_-77.94417",128
"235","34.15889_-77.95222",128
"237","34.16611_-77.96667",128
"241","34.13194_-77.95528",128
"245","34.145_-77.94444",128
"252","34.1275_-77.94389",128
"256","34.16389_-77.96861",128
"271","34.1575_-77.95056",128
"274","34.13833_-77.95694",128
"276","34.15056_-77.94361",128
"279","34.15333_-77.94472",128
"281","34.15167_-77.94417",128
"283","34.12556_-77.94389",128
"286","34.16028_-77.95139",128
"293","34.16167_-77.96639",128
"299","34.16389_-77.95333",128
"304","34.16139_-77.96639",128
"308","34.14333_-77.95639",128
"318","34.15417_-77.96417",128
"323","34.15917_-77.95167",128
"327","34.14972_-77.94472",128
"330","34.15583_-77.94472",128
"336","34.15528_-77.94472",128
"341","34.12694_-77.94694",128
"343","34.13083_-77.95444",128
"352","34.16222_-77.96778",128
"354","34.16167_-77.96528",128
"373","34.14472_-77.94444",128
"380","34.1325_-77.95528",128
"388","34.15917_-77.95194",128
"389","34.12611_-77.94528",128
"397","34.14528_-77.94611",128
"403","34.145_-77.95694",128
"404","34.15139_-77.96889",128
"408","34.16056_-77.96472",128
"415","34.14556_-77.94667",128
"417","34.13056_-77.955",128
"422","34.12778_-77.94361",128
"423","34.15583_-77.94444",128
"426","34.14667_-77.95833",128
"428","34.12972_-77.945",128
"429","34.1575_-77.94444",128
"437","34.12556_-77.945",128
"454","34.14917_-77.96139",128
"472","34.14222_-77.95611",128
"479","34.15722_-77.94444",128
"508","34.13806_-77.93889",128
"13834","34.129_-77.95",128
"72","34.13194_-77.92889",129
"87","34.12694_-77.92583",129
"88","34.12583_-77.92583",129
"124","34.12694_-77.92639",129
"137","34.12667_-77.92611",129
"171","34.13028_-77.92833",129
"261","34.12722_-77.92583",129
"266","34.12889_-77.92667",129
"272","34.13278_-77.92972",129
"285","34.12556_-77.92889",129
"288","34.12833_-77.92667",129
"396","34.12556_-77.92556",129
"475","34.12556_-77.92944",129
"13824","34.266_-77.947",158
"13825","34.252_-77.968",158
"13835","34.267_-77.984",158
"11273","34.33806_-76.14472",203
"13838","34.431_-77.606",221
"7477","34.41389_-76.66028",229
"13836","34.477_-77.475",252
"13837","34.475_-77.464",252
"13840","34.506_-77.466",252
"13839","34.517_-77.424",253
"6457","34.575_-77.41972",283
"6461","34.59167_-77.43694",283
"6463","34.58556_-77.36917",283
"6473","34.58389_-77.40472",283
"6475","34.55722_-77.34028",283
"6477","34.59056_-77.43444",283
"6482","34.58472_-77.37583",283
"6493","34.60194_-77.39028",283
"6495","34.58444_-77.39556",283
"6497","34.60167_-77.38806",283
"6500","34.5875_-77.43278",283
"6502","34.58361_-77.37667",283
"6505","34.57333_-77.40583",283
"6508","34.60139_-77.37694",283
"6513","34.58556_-77.39389",283
"6515","34.5625_-77.37611",283
"6516","34.59278_-77.43722",283
"6521","34.57778_-77.38167",283
"6523","34.58694_-77.38833",283
"6525","34.5725_-77.34444",283
"6527","34.55806_-77.34444",283
"6536","34.57667_-77.36111",283
"6544","34.56222_-77.35472",283
"6551","34.60528_-77.37389",283
"6553","34.58111_-77.42472",283
"6557","34.60861_-77.36639",283
"6561","34.58361_-77.37778",283
"6565","34.5725_-77.36",283
"6567","34.58611_-77.43167",283
"6569","34.58417_-77.395",283
"6571","34.57861_-77.42056",283
"6575","34.55667_-77.34083",283
"6579","34.59278_-77.43667",283
"6583","34.58361_-77.395",283
"6588","34.58667_-77.43222",283
"6595","34.59028_-77.43583",283
"6597","34.57861_-77.4225",283
"6601","34.60306_-77.37417",283
"6605","34.59389_-77.40278",283
"6607","34.57556_-77.41833",283
"6609","34.57667_-77.36444",283
"6611","34.5975_-77.43694",283
"6614","34.57194_-77.41389",283
"6615","34.6_-77.37556",283
"6618","34.5825_-77.42583",283
"6621","34.60861_-77.36611",283
"6625","34.58417_-77.3775",283
"6629","34.58417_-77.37694",283
"6631","34.58056_-77.42528",283
"6638","34.60139_-77.38361",283
"6641","34.59028_-77.43528",283
"6642","34.6_-77.43639",283
"6644","34.56972_-77.36083",283
"6646","34.57306_-77.41611",283
"6649","34.57306_-77.41667",283
"6651","34.60139_-77.3825",283
"6657","34.5975_-77.43722",283
"6659","34.57667_-77.42167",283
"6662","34.605_-77.37167",283
"6665","34.5775_-77.36694",283
"6666","34.58389_-77.37611",283
"6672","34.58722_-77.4325",283
"6675","34.60222_-77.38917",283
"6679","34.60417_-77.38861",283
"6683","34.58167_-77.37833",283
"6684","34.57833_-77.42361",283
"6687","34.60361_-77.37306",283
"6690","34.6075_-77.36611",283
"6692","34.57361_-77.41694",283
"6695","34.58444_-77.43111",283
"6696","34.58361_-77.36917",283
"6700","34.58889_-77.43333",283
"6701","34.57306_-77.41639",283
"6703","34.58028_-77.38139",283
"6707","34.57389_-77.35972",283
"6710","34.57472_-77.41694",283
"6712","34.60111_-77.37917",283
"6714","34.58389_-77.39528",283
"6718","34.58389_-77.39444",283
"6722","34.55583_-77.34028",283
"6727","34.57944_-77.42417",283
"6728","34.60111_-77.39389",283
"6731","34.60083_-77.37806",283
"6733","34.58472_-77.43083",283
"6735","34.58694_-77.40361",283
"6737","34.58861_-77.43361",283
"6739","34.58028_-77.38167",283
"6741","34.58444_-77.42972",283
"6745","34.575_-77.40222",283
"6752","34.5825_-77.37861",283
"6758","34.5725_-77.36083",283
"6763","34.60194_-77.385",283
"6764","34.57333_-77.35944",283
"6771","34.58389_-77.3825",283
"6774","34.58333_-77.36917",283
"6776","34.58167_-77.37889",283
"6778","34.56111_-77.37167",283
"6779","34.58694_-77.40583",283
"6782","34.59722_-77.43639",283
"6784","34.59778_-77.43583",283
"6786","34.56889_-77.36056",283
"6789","34.57639_-77.41972",283
"6791","34.58111_-77.40333",283
"6793","34.5975_-77.43583",283
"6797","34.58389_-77.39333",283
"6800","34.57222_-77.34778",283
"6802","34.60889_-77.36583",283
"6804","34.58444_-77.37667",283
"6808","34.59083_-77.43556",283
"6810","34.57028_-77.36139",283
"6811","34.58306_-77.39611",283
"6813","34.58556_-77.43167",283
"6817","34.60083_-77.39333",283
"6818","34.57083_-77.41361",283
"6820","34.585_-77.43083",283
"6823","34.59083_-77.4025",283
"6824","34.57528_-77.40167",283
"6828","34.57611_-77.4225",283
"6831","34.58278_-77.42944",283
"6835","34.57306_-77.40639",283
"6840","34.58306_-77.37694",283
"6845","34.58806_-77.42472",283
"6847","34.56667_-77.41667",283
"6851","34.58639_-77.40472",283
"6852","34.60083_-77.39417",283
"6856","34.5875_-77.40361",283
"6858","34.58139_-77.39556",283
"6859","34.57806_-77.36972",283
"6862","34.56194_-77.37194",283
"6863","34.55972_-77.34944",283
"6866","34.59139_-77.405",283
"6873","34.59833_-77.43611",283
"6876","34.57861_-77.42306",283
"6878","34.60194_-77.38333",283
"6880","34.58083_-77.42333",283
"6882","34.58444_-77.39278",283
"6884","34.57333_-77.4075",283
"6886","34.56806_-77.33778",283
"6888","34.58778_-77.43333",283
"6889","34.58833_-77.36667",283
"6892","34.60222_-77.38389",283
"6894","34.60194_-77.38806",283
"6895","34.58389_-77.39306",283
"6897","34.58306_-77.37778",283
"6899","34.58472_-77.37667",283
"6902","34.57222_-77.34222",283
"6907","34.59028_-77.40333",283
"6909","34.58361_-77.37722",283
"6913","34.58583_-77.37611",283
"6914","34.59083_-77.39556",283
"6920","34.58944_-77.39472",283
"6926","34.57111_-77.41194",283
"6930","34.57861_-77.37861",283
"6933","34.60917_-77.365",283
"6938","34.56333_-77.34139",283
"6942","34.57917_-77.37833",283
"6944","34.57639_-77.36306",283
"6949","34.59722_-77.39472",283
"6952","34.59833_-77.39833",283
"6954","34.57778_-77.42222",283
"6961","34.56861_-77.355",283
"6964","34.60194_-77.3825",283
"6968","34.60778_-77.40667",283
"6970","34.58417_-77.39083",283
"6972","34.58_-77.38333",283
"6978","34.59944_-77.43167",283
"6982","34.58972_-77.43",283
"6984","34.57694_-77.37222",283
"6986","34.60389_-77.38528",283
"6989","34.58083_-77.42361",283
"6992","34.60056_-77.43167",283
"6996","34.57722_-77.41861",283
"7002","34.56861_-77.3625",283
"7006","34.60556_-77.37611",283
"7007","34.57694_-77.41833",283
"7011","34.60583_-77.40278",283
"7016","34.58444_-77.42556",283
"7019","34.60889_-77.41056",283
"7021","34.60417_-77.3875",283
"7022","34.57472_-77.41444",283
"7027","34.58694_-77.42722",283
"7029","34.58889_-77.36861",283
"7031","34.57667_-77.37167",283
"7033","34.57611_-77.41444",283
"7037","34.57583_-77.41444",283
"7047","34.58417_-77.42556",283
"7050","34.57667_-77.37056",283
"7053","34.58889_-77.36917",283
"7057","34.60694_-77.37444",283
"7059","34.57528_-77.415",283
"7064","34.58917_-77.4275",283
"7070","34.57667_-77.37",283
"7072","34.58333_-77.39306",283
"7078","34.57611_-77.41917",283
"7080","34.565_-77.36139",283
"7084","34.58222_-77.42417",283
"7089","34.60111_-77.4325",283
"7092","34.60167_-77.43194",283
"7093","34.58528_-77.42528",283
"7099","34.60833_-77.41306",283
"7101","34.6025_-77.38306",283
"7105","34.6025_-77.38056",283
"7109","34.59028_-77.42722",283
"7111","34.60306_-77.38528",283
"7113","34.57694_-77.37111",283
"7124","34.60667_-77.37222",283
"7126","34.57583_-77.41639",283
"7129","34.60694_-77.40417",283
"7132","34.5875_-77.42722",283
"7134","34.60667_-77.43417",283
"7135","34.575_-77.41361",283
"7136","34.60278_-77.38",283
"7141","34.60333_-77.38639",283
"7146","34.60333_-77.37722",283
"7148","34.58333_-77.42417",283
"7154","34.58361_-77.42528",283
"7156","34.60528_-77.43278",283
"7162","34.60222_-77.43444",283
"7175","34.575_-77.42778",283
"7178","34.6075_-77.40556",283
"7184","34.60417_-77.37694",283
"7187","34.58444_-77.42417",283
"7197","34.60778_-77.37028",283
"7198","34.58194_-77.42361",283
"7205","34.60861_-77.40833",283
"7207","34.56806_-77.36556",283
"7210","34.58056_-77.38917",283
"7213","34.58139_-77.39333",283
"7215","34.60306_-77.37778",283
"7219","34.60639_-77.40611",283
"7221","34.59361_-77.42917",283
"7225","34.6075_-77.40583",283
"7228","34.5825_-77.42417",283
"7232","34.5975_-77.435",283
"7234","34.59917_-77.43444",283
"7238","34.60278_-77.43083",283
"7242","34.57889_-77.42139",283
"7248","34.6025_-77.38444",283
"7251","34.60083_-77.43333",283
"7255","34.59806_-77.43333",283
"7261","34.60306_-77.385",283
"7262","34.60222_-77.38167",283
"7263","34.59861_-77.43417",283
"7269","34.60694_-77.40222",283
"7270","34.60917_-77.41667",283
"7275","34.575_-77.41444",283
"7277","34.59056_-77.37861",283
"7280","34.58861_-77.36861",283
"7285","34.58167_-77.42361",283
"7289","34.57389_-77.41444",283
"7292","34.58278_-77.39278",283
"7301","34.60389_-77.37861",283
"7302","34.59944_-77.39861",283
"7304","34.60833_-77.39444",283
"7307","34.58861_-77.37",283
