"","gridID","geometry"
"1",8,list(c(-78.0516361666667, -77.9304203333333, -77.9304203333333, -78.0516361666667, -78.0516361666667, 33.802938, 33.802938, 33.8985776666667, 33.8985776666667, 33.802938))
"2",35,list(c(-78.4152836666667, -78.2940678333333, -78.2940678333333, -78.4152836666667, -78.4152836666667, 33.8985776666667, 33.8985776666667, 33.9942173333333, 33.9942173333333, 33.8985776666667))
"3",38,list(c(-78.0516361666667, -77.9304203333333, -77.9304203333333, -78.0516361666667, -78.0516361666667, 33.8985776666667, 33.8985776666667, 33.9942173333333, 33.9942173333333, 33.8985776666667))
"4",39,list(c(-77.9304203333333, -77.8092045, -77.8092045, -77.9304203333333, -77.9304203333333, 33.8985776666667, 33.8985776666667, 33.9942173333333, 33.9942173333333, 33.8985776666667))
"5",68,list(c(-78.0516361666667, -77.9304203333333, -77.9304203333333, -78.0516361666667, -78.0516361666667, 33.9942173333333, 33.9942173333333, 34.089857, 34.089857, 33.9942173333333))
"6",69,list(c(-77.9304203333333, -77.8092045, -77.8092045, -77.9304203333333, -77.9304203333333, 33.9942173333333, 33.9942173333333, 34.089857, 34.089857, 33.9942173333333))
"7",98,list(c(-78.0516361666667, -77.9304203333333, -77.9304203333333, -78.0516361666667, -78.0516361666667, 34.089857, 34.089857, 34.1854966666667, 34.1854966666667, 34.089857))
"8",99,list(c(-77.9304203333333, -77.8092045, -77.8092045, -77.9304203333333, -77.9304203333333, 34.089857, 34.089857, 34.1854966666667, 34.1854966666667, 34.089857))
"9",128,list(c(-78.0516361666667, -77.9304203333333, -77.9304203333333, -78.0516361666667, -78.0516361666667, 34.1854966666667, 34.1854966666667, 34.2811363333333, 34.2811363333333, 34.1854966666667))
"10",173,list(c(-76.2333986666667, -76.1121828333333, -76.1121828333333, -76.2333986666667, -76.2333986666667, 34.2811363333333, 34.2811363333333, 34.376776, 34.376776, 34.2811363333333))
"11",191,list(c(-77.6879886666667, -77.5667728333333, -77.5667728333333, -77.6879886666667, -77.6879886666667, 34.376776, 34.376776, 34.4724156666667, 34.4724156666667, 34.376776))
"12",199,list(c(-76.718262, -76.5970461666667, -76.5970461666667, -76.718262, -76.718262, 34.376776, 34.376776, 34.4724156666667, 34.4724156666667, 34.376776))
"13",222,list(c(-77.5667728333333, -77.445557, -77.445557, -77.5667728333333, -77.5667728333333, 34.4724156666667, 34.4724156666667, 34.5680553333333, 34.5680553333333, 34.4724156666667))
"14",223,list(c(-77.445557, -77.3243411666667, -77.3243411666667, -77.445557, -77.445557, 34.4724156666667, 34.4724156666667, 34.5680553333333, 34.5680553333333, 34.4724156666667))
"15",253,list(c(-77.445557, -77.3243411666667, -77.3243411666667, -77.445557, -77.445557, 34.5680553333333, 34.5680553333333, 34.663695, 34.663695, 34.5680553333333))
"16",255,list(c(-77.2031253333333, -77.0819095, -77.0819095, -77.2031253333333, -77.2031253333333, 34.5680553333333, 34.5680553333333, 34.663695, 34.663695, 34.5680553333333))
"17",256,list(c(-77.0819095, -76.9606936666667, -76.9606936666667, -77.0819095, -77.0819095, 34.5680553333333, 34.5680553333333, 34.663695, 34.663695, 34.5680553333333))
"18",283,list(c(-77.445557, -77.3243411666667, -77.3243411666667, -77.445557, -77.445557, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"19",285,list(c(-77.2031253333333, -77.0819095, -77.0819095, -77.2031253333333, -77.2031253333333, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"20",286,list(c(-77.0819095, -76.9606936666667, -76.9606936666667, -77.0819095, -77.0819095, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"21",287,list(c(-76.9606936666667, -76.8394778333333, -76.8394778333333, -76.9606936666667, -76.9606936666667, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"22",288,list(c(-76.8394778333333, -76.718262, -76.718262, -76.8394778333333, -76.8394778333333, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"23",289,list(c(-76.718262, -76.5970461666667, -76.5970461666667, -76.718262, -76.718262, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"24",291,list(c(-76.4758303333333, -76.3546145, -76.3546145, -76.4758303333333, -76.4758303333333, 34.663695, 34.663695, 34.7593346666667, 34.7593346666667, 34.663695))
"25",315,list(c(-77.2031253333333, -77.0819095, -77.0819095, -77.2031253333333, -77.2031253333333, 34.7593346666667, 34.7593346666667, 34.8549743333333, 34.8549743333333, 34.7593346666667))
"26",318,list(c(-76.8394778333333, -76.718262, -76.718262, -76.8394778333333, -76.8394778333333, 34.7593346666667, 34.7593346666667, 34.8549743333333, 34.8549743333333, 34.7593346666667))
"27",319,list(c(-76.718262, -76.5970461666667, -76.5970461666667, -76.718262, -76.718262, 34.7593346666667, 34.7593346666667, 34.8549743333333, 34.8549743333333, 34.7593346666667))
"28",320,list(c(-76.5970461666667, -76.4758303333333, -76.4758303333333, -76.5970461666667, -76.5970461666667, 34.7593346666667, 34.7593346666667, 34.8549743333333, 34.8549743333333, 34.7593346666667))
"29",321,list(c(-76.4758303333333, -76.3546145, -76.3546145, -76.4758303333333, -76.4758303333333, 34.7593346666667, 34.7593346666667, 34.8549743333333, 34.8549743333333, 34.7593346666667))
"30",347,list(c(-76.9606936666667, -76.8394778333333, -76.8394778333333, -76.9606936666667, -76.9606936666667, 34.8549743333333, 34.8549743333333, 34.950614, 34.950614, 34.8549743333333))
