"","lat_lon","gridID"
"463","34.04417_-77.93639",68
"467","34.03611_-77.94306",68
"469","34.04556_-77.945",68
"476","33.99722_-77.93917",68
"4","34.0025_-77.91972",69
"14","34.06389_-77.92278",69
"25","34.08972_-77.92556",69
"30","34.04722_-77.92222",69
"34","34.04139_-77.92222",69
"38","34.0225_-77.91889",69
"50","34.085_-77.92361",69
"62","34.07667_-77.92556",69
"64","34.05944_-77.92056",69
"74","34.04444_-77.92333",69
"78","34.05806_-77.91972",69
"80","34.07278_-77.92528",69
"85","34.00361_-77.92",69
"92","34.07694_-77.925",69
"93","34.0675_-77.92528",69
"96","34.04667_-77.92194",69
"97","33.9975_-77.92194",69
"98","34.02361_-77.92889",69
"99","34.00778_-77.91889",69
"100","34.04111_-77.92139",69
"104","34.08528_-77.925",69
"108","34.01528_-77.91889",69
"121","33.99444_-77.9225",69
"143","34.03222_-77.91972",69
"145","34.04556_-77.92222",69
"148","34.03639_-77.91889",69
"150","34.02_-77.92917",69
"151","34.01167_-77.91806",69
"156","34.06083_-77.92056",69
"157","34.04111_-77.92222",69
"160","34.03944_-77.91972",69
"163","34.08778_-77.92389",69
"166","34.03917_-77.92",69
"167","34.01306_-77.91694",69
"172","34.0125_-77.91722",69
"173","34.03194_-77.91944",69
"177","34.04083_-77.92139",69
"182","33.99833_-77.92056",69
"183","34.01917_-77.92833",69
"186","34.045_-77.92222",69
"203","34.0825_-77.925",69
"211","34.00889_-77.91889",69
"214","34.07444_-77.92583",69
"218","34.07472_-77.91583",69
"219","34.04278_-77.92306",69
"224","34.02_-77.93",69
"226","34.04139_-77.92167",69
"229","34.065_-77.92278",69
"234","34.03222_-77.91944",69
"236","34.05528_-77.91917",69
"238","34.03194_-77.91889",69
"243","34.01917_-77.92889",69
"244","34.06861_-77.92528",69
"248","34.0875_-77.92417",69
"251","34.01944_-77.92917",69
"254","34.02556_-77.91667",69
"255","34.04_-77.92056",69
"257","34.02444_-77.9175",69
"258","34.07194_-77.92528",69
"262","34.0875_-77.92333",69
"265","33.99972_-77.91972",69
"275","34.07306_-77.925",69
"282","34.05806_-77.91917",69
"284","34.06778_-77.92472",69
"289","34.05917_-77.92028",69
"297","34.06056_-77.92056",69
"298","34.00833_-77.91722",69
"305","34.07361_-77.92472",69
"307","34.02639_-77.85167",69
